item,asin,precio,tienda,ok_online
1068350,B0CZNVYCG9,9.95,1,1
1068427,B0CZNVYCG9,9.95,1,1
1068426,B0CZNVYCG9,9.95,1,1
1068425,B0CZNVYCG9,9.95,1,1
1068535,B0CZNVYCG9,9.95,1,1
1068536,B0CZNVYCG9,9.95,1,1
1068537,B0CZNVYCG9,9.95,1,1
1068574,B0CZNSN9SN,9.95,1,1
1068573,B0CZNSN9SN,9.95,1,1
1068572,B0CZNSN9SN,9.95,1,1
1068481,B0CZNSN9SN,9.95,1,1
1068466,B0CZNSN9SN,9.95,1,1
1068424,B0CZNSN9SN,9.95,1,1
1068417,B0CZNSN9SN,9.95,1,1
1068418,B0CZNSN9SN,9.95,1,1
1068538,B0CZNRKFYT,9.95,1,1
1068479,B0CZNRKFYT,9.95,1,1
1068480,B0CZNRKFYT,9.95,1,1
1068464,B0CZNRKFYT,9.95,1,1
1068465,B0CZNRKFYT,9.95,1,1
1068416,B0CZNRKFYT,9.95,1,1
1068415,B0CZNRKFYT,9.95,1,1
1068414,B0CZNRKFYT,9.95,1,1
1068391,B0CDFY2NRN,9.95,1,1
1068428,B0CDFXNGSG,9.95,1,1
1068392,B0D1KL8YZN,9.95,1,1
1068390,B0CDFWXBSL,9.95,1,1
1068389,B0CCKLBVX5,9.95,1,1
1068388,B0CCKK346H,9.95,1,1
1068387,B0CCKJTJXT,9.95,1,1
1068386,B0CCJ7YJL4,9.95,1,1
1068385,B0CCJ7YJL4,9.95,1,1
1068494,B0BWX95JM3,9.95,1,1
1068495,B0BWX95JM3,9.95,1,1
1068496,B0BWX95JM3,9.95,1,1
1068484,B0BWX95JM3,9.95,1,1
1068357,B0BWX95JM3,9.95,1,1
1068469,B0BWX95JM3,9.95,1,1
1068459,B0BWX95JM3,9.95,1,1
1068458,B0BWX95JM3,9.95,1,1
1068457,B0BWX95JM3,9.95,1,1
1068379,B0CWR8BM4P,9.95,1,1
1068378,B0CR15MMTV,9.95,1,1
1068377,B0C999S9MK,9.95,1,1
1068376,B0C6X31PHW,9.95,1,1
1068375,B0C6WW54TF,9.95,1,1
1068374,B0BYMPS7BH,9.95,1,1
1068367,B0CCVLK27H,9.95,1,1
1068364,B08S3P8MBQ,10.95,1,1
1068363,B08S3TR336,10.95,1,1
1068463,B0DMP3QSDY,11.95,1,1
1068400,B08PPGFKL7,11.95,1,1
1068401,B08PPGFKL7,11.95,1,1
1068402,B08PPGFKL7,11.95,1,1
1068399,B08PPGFKL7,11.95,1,1
1068398,B08PPGFKL7,11.95,1,1
1068397,B08PPGFKL7,11.95,1,1
1068380,B0DG58KDWV,13.95,1,1
1068324,B07G412W5Y,6.95,1,1
1068334,B0DQT7GHDM,6.95,1,1
1067296,B0CS6YG3KY,7.95,1,1
1067287,B0DN9X7CPX,7.95,1,1
1068326,B07ZH2TZ35,7.95,1,1
1068310,B0D9878RR1,7.95,1,1
1068312,B07X82QQCC,7.95,1,1
1068366,B0CGZPXFP8,9.95,1,1
1068354,B0CGZPXFP8,9.95,1,1
1068554,B0CGZPXLZ5,9.95,1,1
1068348,B09MVMN181,9.95,1,1
1068344,B01D3VZY58,9.95,1,1
1068335,B096VR2KF9,9.95,1,1
1068336,B08TW7QPNZ,9.95,1,1
1068333,B09MVN25SS,9.95,1,1
1068313,B0DKXVLT26,9.95,1,1
1068309,B0DKXZ5LWS,9.95,1,1
1068307,B09QQNDHVX,9.95,1,1
1068301,B0DP1WN77Z,9.95,1,1
1068323,B0GD58V586,9.95,1,1
1068279,B09VC9ZMF9,9.95,1,1
1067300,B0D3QJ7V94,9.95,1,1
1067299,B0FS18MKWS,9.95,1,1
1067292,B0DT66QM51,9.95,1,1
1067293,B0DT66QM51,9.95,1,1
1067294,B0F4QMY7GQ,9.95,1,1
1067295,B0F624DNH2,9.95,1,1
1067291,B0DP2FVYZF,9.95,1,1
1067288,B0DQTFPPXB,9.95,1,1
1068487,B0CJHHWFCT,10.95,1,1
1068485,B0CJHHWFCT,10.95,1,1
1068486,B0CJHHWFCT,10.95,1,1
1068355,B0CWCW49JY,11.95,1,1
1068362,B015R4DWYE,11.95,1,1
1068552,B015R4DWYE,11.95,1,1
1068503,B015R4DWYE,11.95,1,1
1068501,B015R3IN2G,11.95,1,1
1068502,B015R3IN2G,11.95,1,1
1068423,B01GEA813M,11.95,1,1
1068361,B015R3IN2G,11.95,1,1
1068353,B015R4PGM0,11.95,1,1
1068342,B0DWMGSXVS,11.95,1,1
1068341,B0D4F1FNWZ,11.95,1,1
1068340,B0CW9NTXQ9,11.95,1,1
1067290,B0BG2GCDNP,11.95,1,1
1068433,B0DJ6XN9BD,17.95,1,1
1068528,B0C46C1HRV,6.95,1,1
1068431,B0CG8P5YWB,9.95,1,1
1068432,B0CG8P5YWB,9.95,1,1
1068281,B097CDVXFK,9.95,1,1
1068509,B09C5NXRYY,11.95,1,1
1068511,B0DQCRDGC4,11.95,1,1
1068510,B09C5NXRYY,11.95,1,1
1068352,B0CST169VN,11.95,1,1
1068434,B0DX9WV1L5,11.95,1,1
1068545,B0DHZPX6RT,11.95,1,1
1068473,B0CKTT4P4Z,11.95,1,1
1068474,B0CQLP7DNQ,11.95,1,1
1068411,B0CRZG2J8K,9.95,1,1
1068406,B0CRZG2J8K,9.95,1,1
1068407,B0CRZG2J8K,9.95,1,1
1068409,B0CRZG2J8K,9.95,1,1
1068408,B0CRZG2J8K,9.95,1,1
1068410,B0CRZG2J8K,9.95,1,1
1068412,B0CRZG2J8K,9.95,1,1
1068395,B09KC3WR4B,11.95,1,1
1068393,B09KC3YXYD,11.95,1,1
1068394,B08XW4WMMF,11.95,1,1
1068331,B09D7TTXRG,7.95,1,1
1068298,B0CTRQBW3Z,9.95,1,1
1068345,B0DZHL676W,9.95,1,1
1068372,B0DBPBKD76,9.95,1,1
1068370,B0DBPBKD76,9.95,1,1
1068368,B0CCVLK27H,9.95,1,1
1068371,B0DBPBKD76,9.95,1,1
1068373,B0BZRWX2DG,11.95,1,1
1068351,B0CST169VN,11.95,1,1
1068337,B0DZ3P2B54,13.95,1,1
1068314,B0DJJS6XMJ,5.95,1,1
1068315,B0DJJS6XMJ,5.95,1,1
1068346,B0F24W3KPT,9.95,1,1
1068356,B0BZNFH9RZ,9.95,1,1
1068330,B0C66JKP8K,9.95,1,1
1068560,B0B5DPDFLD,9.95,1,1
1068498,B0B5DPDFLD,9.95,1,1
1068478,B0B5DPDFLD,9.95,1,1
1068381,B0B5DPDFLD,9.95,1,1
1068471,B0B5DPDFLD,9.95,1,1
1068470,B0B5DNFCPW,9.95,1,1
1068382,B0B5DNFCPW,9.95,1,1
1068383,B0B5DNFCPW,9.95,1,1
1068384,B0B5DNFCPW,9.95,1,1
1069247,B0F21DCTSL,7.95,1,1
1069248,B0BRN6WGC6,15.95,1,1
1069250,B0FC6716QV,11.95,1,1
1069249,B07H94H1S2,9.95,1,1
1069243,B0D3T7HN9F,11.95,1,1
1069245,B07H94H1S2,9.95,1,1
1069244,B0DPWZB3GW,24.95,1,1
1069235,B0C1J31PDZ,11.95,1,1
1069236,B0C1J3K255,11.95,1,1
1069237,B0BYDPQ855,11.95,1,1
1069238,B0F9FBG97D,11.95,1,1
1069246,B0CX1C571L,17.95,1,1
1069241,B0C7JVRZ8L,24.95,1,1
1069239,B07B7JJYS4,8.95,1,1
1069240,B07B7JJYS4,8.95,1,1
1069226,B0D6FKZYXC,15.95,1,1
1069228,B0CHFBLGWB,16.95,1,1
1069227,B0CVTTB264,15.95,1,1
1069231,B0DRHQCKYH,16.95,1,1
1069232,B08V58NF36,4.95,1,1
1069229,B0DT43R2VN,15.95,1,1
1069233,B0DFH34CV9,14.95,1,1
1069230,B085RDGRYT,11.95,1,1
1069234,B0DR4RWY8P,14.95,1,1
1069242,B0DQNMZX63,12.95,1,1
1069251,B0D9N4MFYF,11.95,1,1
1069252,B0DXCDTB9Q,16.95,1,1
1069253,B0CG32RGY4,15.95,1,1
1069254,B0DXCG7S5Y,16.95,1,1
1069255,B0DR8RKLSF,11.95,1,1
1069256,B0BRN7RPLN,11.95,1,1
1069267,B0BY8SQYVB,11.95,1,1
1069266,B0D177WPTR,11.95,1,1
1069265,B0FC66TG84,17.95,1,1
1069264,B0D1XY37YP,14.95,1,1
1069263,B0CP217QV3,19.95,1,1
1069262,B0D84553W3,11.95,1,1
1069261,B0C495V294,17.95,1,1
1069260,B08HN6F2KR,17.95,1,1
1069259,B0DBHKNHM8,17.95,1,1
1069258,B0CP214LMG,19.95,1,1
1069275,B07TMDPPVC,9.95,1,1
1069276,B0D84BXTD8,11.95,1,1
1069277,B07ZLVF6B3,17.95,1,1
1069278,B0F1JQ1FJ3,19.95,1,1
1069272,B0DN1GD1FB,14.95,1,1
1069268,B0D1XK7B1R,14.95,1,1
1069269,B0DGX6T75F,14.95,1,1
1069270,B0D1XK89N3,14.95,1,1
1069271,B0D77MJ6PY,14.95,1,1
1069274,B07KKD114F,17.95,1,1
1069273,B0C6QMFCLL,7.95,1,1
1069284,B0CQTH5D1D,14.95,1,1
1069285,B0CQTGPPH6,14.95,1,1
1069286,B078D7GNS7,14.95,1,1
1069287,B0BR3YWL93,15.95,1,1
1069293,B0DHZHQ8QN,15.95,1,1
1069292,B0DHZHQ8QN,15.95,1,1
1069291,B0DHZHQ8QN,15.95,1,1
1069290,B0DHZHQ8QN,15.95,1,1
1069289,B0DHZHQ8QN,15.95,1,1
1069288,B0DHZHQ8QN,15.95,1,1
1069294,B0DHZK3RY5,15.95,1,1
1069295,B0DHZJQTFL,15.95,1,1
1069296,B0DHZGFHVM,15.95,1,1
1069297,B0DHZH554D,15.95,1,1
1069298,B0DHZGJ4RZ,15.95,1,1
1069304,B0DJKH7VTV,11.95,1,1
1069303,B08SW4T5FV,4.95,1,1
1069302,B07RW5VRQ1,17.95,1,1
1069301,B0BKKQQJBZ,17.95,1,1
1069300,B0CBTFH48Q,17.95,1,1
1069299,B084C3K7LQ,16.95,1,1
1069305,B0DR6VLG5S,17.95,1,1
1069306,B0C1J2XLB2,11.95,1,1
1069307,B0C1J34MTJ,11.95,1,1
1069308,B0CVTTB264,15.95,1,1
1069309,B0DR6VC52Q,17.95,1,1
1069310,B084MC8QDC,17.95,1,1
1069317,B0C36S88MR,17.95,1,1
1069318,B0C36S88MR,17.95,1,1
1069313,B0C36SJPJG,17.95,1,1
1069314,B0C36SJPJG,17.95,1,1
1069315,B0C36SJPJG,17.95,1,1
1069316,B0C36SJPJG,17.95,1,1
1069312,B08DF7MJRT,17.95,1,1
1069311,B0CJ6G4FPP,17.95,1,1
1069319,B0D53N6V9Z,17.95,1,1
1069320,B083FG4867,17.95,1,1
1069321,B0CDWFTPLQ,14.95,1,1
1069322,B0CDWKBBTY,14.95,1,1
1069323,B0D25LM235,14.95,1,1
1069324,B084FRR5D7,15.95,1,1
1069330,B0D53N5Y98,17.95,1,1
1069329,B0DQ4SX3J4,17.95,1,1
1069328,B0F226R9GQ,17.95,1,1
1069327,B0DPH9NSQF,17.95,1,1
1069326,B0DR6VDW3C,17.95,1,1
1069325,B0DR6VS6PB,17.95,1,1
1069331,B0D1PGBLWQ,19.95,1,1
1069332,B0CDWK873Q,17.95,1,1
1069333,B0CJ6H35SQ,17.95,1,1
1069334,B07ZLMSGMV,14.95,1,1
1069335,B0DPZK8DYK,29.95,1,1
1069336,B0CYLNCVGR,14.95,1,1
1069337,B0D3PX6K52,14.95,1,1
1069338,B0DRJC8VYX,14.95,1,1
1069339,B0DRJ7BXHR,14.95,1,1
1069340,B0DRJCL8QV,14.95,1,1
1069341,B0DRJ9FJX5,14.95,1,1
1069342,B0DRJ9FJX5,14.95,1,1
1069347,B0BTBSL2QF,12.95,1,1
1069346,B0FBQW25FK,14.95,1,1
1069345,B0D56KW578,14.95,1,1
1069344,B0BW47XY3C,22.95,1,1
1069343,B07H94H1S2,9.95,1,1
1069348,B0DPHBCMKM,17.95,1,1
1069349,B0DPHBCMKM,17.95,1,1
1069350,B0DPH6PS19,17.95,1,1
1069351,B0DR6VS58Y,17.95,1,1
1069352,B07RLMSMW4,17.95,1,1
1069353,B07T58KFS8,17.95,1,1
1069367,B074FB28PN,9.95,1,1
1069368,B0DRF97DG7,14.95,1,1
1069363,B0C7WPG9F6,14.95,1,1
1069364,B072NDNZCW,14.95,1,1
1069365,B0BCKNSX3R,14.95,1,1
1069366,B0BLNG11TR,14.95,1,1
1069359,B0CN9BST2L,14.95,1,1
1069360,B0D6YKC9RP,14.95,1,1
1069361,B0D5HHB459,9.95,1,1
1069362,B0CPSC157Q,14.95,1,1
1069356,B0F7GG8WWQ,14.95,1,1
1069357,B0F7GB7KM5,14.95,1,1
1069358,B0F7G9MF7D,14.95,1,1
1069355,B0F7GBMLZ4,14.95,1,1
1069354,B0F7GBMLZ4,14.95,1,1
1069376,B0CZRQC3QC,18.95,1,1
1069375,B0CQCF1BM7,9.95,1,1
1069374,B094HSHHQH,9.95,1,1
1069373,B0DRGC9K28,15.95,1,1
1069372,B0CRYMHNTH,11.95,1,1
1069371,B0BTD69DN5,15.95,1,1
1069385,B0CN6NJJP1,11.95,1,1
1069384,B0CN6NJJP1,11.95,1,1
1069383,B0CN6NJJP1,11.95,1,1
1069382,B0CN6NJJP1,11.95,1,1
1069381,B0DQNMNPVW,15.95,1,1
1069380,B0BRXMBSF2,9.95,1,1
1069378,B0DRG2XJZW,14.95,1,1
1069379,B089KKW7X5,14.95,1,1
1069377,B0DY4JQWLJ,14.95,1,1
1069391,B0CN6NWJVV,11.95,1,1
1069390,B0C498GY2D,17.95,1,1
1069394,B0BCFMKSKT,9.95,1,1
1069393,B0BZQ4PFMG,9.95,1,1
1069392,B0BZQ4PFMG,9.95,1,1
1069389,B0F7GBY5ZJ,14.95,1,1
1069388,B0CZXFTWLG,11.95,1,1
1069387,B0CZXFTWLG,11.95,1,1
1069386,B0CZX94SV4,11.95,1,1
1069395,B0CZXG763B,12.95,1,1
1069396,B0CZXYPKBV,12.95,1,1
1069397,B0CZXYPKBV,12.95,1,1
1069398,B0CZXYPKBV,12.95,1,1
1069399,B0CZXYPKBV,12.95,1,1
1069400,B0CZXYPKBV,12.95,1,1
1069401,B0CZXYPKBV,12.95,1,1
1069402,B0CZXYPKBV,12.95,1,1
1069403,B0CZXYPKBV,12.95,1,1
1069404,B0CZXYPKBV,12.95,1,1
1069405,B0CZXYPKBV,12.95,1,1
1069411,B0CN6PX31P,11.95,1,1
1069410,B0CN6PX31P,11.95,1,1
1069409,B0CN6PX31P,11.95,1,1
1069412,B0CN6N291Q,11.95,1,1
1069413,B0CN6N291Q,11.95,1,1
1069414,B0CN6N291Q,11.95,1,1
1069415,B0CN6N291Q,11.95,1,1
1069416,B0CN6NWJVV,11.95,1,1
1069417,B0CN6NJJP1,11.95,1,1
1069408,B0CZXJ7FK1,12.95,1,1
1069407,B0CZXVBSZD,12.95,1,1
1069406,B0CZX73M4R,12.95,1,1
1069418,B0CZX94SV4,12.95,1,1
1069420,B0CZX4GXP6,12.95,1,1
1069419,B0CZX94SV4,12.95,1,1
1069421,B0CZXYPKBV,12.95,1,1
1069422,B0CZXYPKBV,12.95,1,1
1069423,B0CZXYPKBV,12.95,1,1
1069424,B0CZXYPKBV,12.95,1,1
1069425,B0CZXYPKBV,12.95,1,1
1069426,B0CZXYPKBV,12.95,1,1
1069427,B0CZXYPKBV,12.95,1,1
1069428,B0CZXYPKBV,12.95,1,1
1069429,B0CZXYPKBV,12.95,1,1
1069430,B0CZXYPKBV,12.95,1,1
1069431,B0CZXYPKBV,12.95,1,1
1069432,B0CZXYPKBV,12.95,1,1
1069433,B0CZXYPKBV,12.95,1,1
1069434,B0CZXYPKBV,12.95,1,1
1069435,B0CZXYPKBV,12.95,1,1
1069436,B0CZXYPKBV,12.95,1,1
1069437,B0CZXYPKBV,12.95,1,1
1069438,B0CZXYPKBV,12.95,1,1
1069439,B0CZXYPKBV,12.95,1,1
1069440,B0CZXYPKBV,12.95,1,1
1069441,B0CZXYPKBV,12.95,1,1
1069442,B0CZXYPKBV,12.95,1,1
1069459,B0CZX9HRN2,12.95,1,1
1069458,B0CZX9HRN2,12.95,1,1
1069457,B0CZX9HRN2,12.95,1,1
1069456,B0CZX9HRN2,12.95,1,1
1069455,B0CZX9HRN2,12.95,1,1
1069454,B0CZX9HRN2,12.95,1,1
1069453,B0CZX9HRN2,12.95,1,1
1069452,B0CZX9HRN2,12.95,1,1
1069451,B0CZX9HRN2,12.95,1,1
1069450,B0CZX9HRN2,12.95,1,1
1069449,B0CZX9HRN2,12.95,1,1
1069448,B0CZX9HRN2,12.95,1,1
1069447,B0CZX9HRN2,12.95,1,1
1069446,B0CZX9HRN2,12.95,1,1
1069445,B0CZX9HRN2,12.95,1,1
1069444,B0CZX9HRN2,12.95,1,1
1069443,B0CZX9HRN2,12.95,1,1
1069472,B0CZX73M4R,12.95,1,1
1069471,B0CZX73M4R,12.95,1,1
1069470,B0CZX73M4R,12.95,1,1
1069469,B0CZX73M4R,12.95,1,1
1069468,B0CZX73M4R,12.95,1,1
1069467,B0CZX73M4R,12.95,1,1
1069466,B0CZX73M4R,12.95,1,1
1069465,B0CZX73M4R,12.95,1,1
1069464,B0CZX73M4R,12.95,1,1
1069463,B0CZX73M4R,12.95,1,1
1069462,B0CZX73M4R,12.95,1,1
1069461,B0CZX73M4R,12.95,1,1
1069460,B0CZX73M4R,12.95,1,1
1069473,B0CZXJ7FK1,12.95,1,1
1069477,B08SR724WX,17.95,1,1
1069476,B0F3X5JZ8V,17.95,1,1
1069475,B0CQ1YRBJJ,17.95,1,1
1069474,B0CW655PTQ,12.95,1,1
1069478,B0CZX94SV4,12.95,1,1
1069479,B0CZXYPKBV,12.95,1,1
1069480,B08TSSJWXV,17.95,1,1
1069481,B0DHZ1ZBKC,14.95,1,1
1069482,B0DHZ1ZBKC,14.95,1,1
1069483,B0DHZ1ZBKC,14.95,1,1
1069484,B0DHZ1ZBKC,14.95,1,1
1069485,B0DHZ1ZBKC,14.95,1,1
1069486,B0DHZ1ZBKC,14.95,1,1
1069487,B0DHZ1ZBKC,14.95,1,1
1069488,B0DRG2XJZW,14.95,1,1
1069489,B0DRG2XJZW,14.95,1,1
1069490,B0DRJCGXLB,14.95,1,1
1069491,B0DY4JQWLJ,14.95,1,1
1069492,B0DY4JQWLJ,14.95,1,1
1069493,B0DY4JQWLJ,14.95,1,1
1069494,B0DHZ1H2H3,14.95,1,1
1069495,B0DHZ1WKXY,14.95,1,1
1069496,B0DY3S1GNN,14.95,1,1
1069497,B0DY3LGBCD,14.95,1,1
1069498,B0DRG3YB98,14.95,1,1
1069499,B0DRJ9RSJQ,14.95,1,1
1069500,B089KM3TXH,14.95,1,1
1069501,B0CZXVDDM5,17.95,1,1
1069502,B07PYZHLWJ,14.95,1,1
1069503,B07PVR9ZVZ,14.95,1,1
1069507,B0DP8MKG58,19.95,1,1
1069506,B0F9PMQF8H,14.95,1,1
1069505,B0DNJS9617,14.95,1,1
1069504,B0DQD4RSG2,14.95,1,1
1069508,B0CQP756SJ,26.95,1,1
1069509,B08VFFMVK6,17.95,1,1
1069510,B0DKN7GJCH,14.95,1,1
1068604,B0F43SVNYR,11.95,2,1
1068602,B0F43SVNYR,11.95,2,1
1068607,B09JW2FQQQ,11.95,2,1
1068626,B0FD39G92L,8.95,2,1
1068625,B0FD39G92L,8.95,2,1
1068624,B0FD39G92L,8.95,2,1
1068623,B0FD39G92L,8.95,2,1
1068613,B0FJ8G752B,12.95,2,1
1068612,B0FJ8G752B,12.95,2,1
1068637,B0DKNDTKVC,8.95,2,1
1068638,B0DKNDTKVC,8.95,2,1
1068644,B0DZ2L25JG,9.95,2,1
1068643,B0DZ2L25JG,9.95,2,1
1068805,B0BVWLQ6VQ,24.95,2,1
1068809,B0DSB75K8N,26.95,2,1
1068820,B0CC2B3H97,24.95,2,1
1068819,B0CC2B3H97,24.95,2,1
1068845,B0CYT98G87,4.95,2,1
1068844,B0CYT98G87,4.95,2,1
1068843,B0CYT98G87,4.95,2,1
1068842,B0CYT98G87,4.95,2,1
1068841,B0CYT98G87,4.95,2,1
1068840,B0CYT98G87,4.95,2,1
1068839,B0CYT98G87,4.95,2,1
1068838,B0CYT98G87,4.95,2,1
1068837,B0CYT98G87,4.95,2,1
1068836,B0CYT98G87,4.95,2,1
1068879,B0CYT98G87,4.95,2,1
1068880,B0CYT98G87,4.95,2,1
1068881,B0CYT98G87,4.95,2,1
1068882,B0CYT98G87,4.95,2,1
1068883,B0CYT98G87,4.95,2,1
1068884,B0CYT98G87,4.95,2,1
1068885,B0CYT98G87,4.95,2,1
1068886,B0CYT98G87,4.95,2,1
1068887,B0CYT98G87,4.95,2,1
1068888,B0CYT98G87,4.95,2,1
1068889,B0CYT98G87,4.95,2,1
1068890,B0CYT98G87,4.95,2,1
1068911,B0FPF3PFZF,24.95,2,1
1067289,B0CSFVX4M6,7.95,2,1
